,index1_x,County_x,Year_x,ShelterID,BusName_x,City_x,Zip_x,License Type_x,DogSold_x,PupSold_x,CatSold_x,KitSold_x,ExoticSold_x,BegInvDog_x,DogRec_x,DogAdopt_x,DogReclaim_x,DogEuth_x,EndInvDogs_x,BegInvCat_x,CatRec_x,CatsAdopt_x,CatsReclaim_x,CatEuth_x,EndInvCats_x,BegInvOther_x,OtherRec_x,OtherAdopt_x,OtherReclaim_x,OtherEuth_x,EndInvOther_x,AllRec_x,AllAdopt_x,AllReclaim_x,AllEuth_x,index1_y,County_y,Year_y,BusName_y,City_y,Zip_y,License Type_y,DogSold_y,PupSold_y,CatSold_y,KitSold_y,ExoticSold_y,BegInvDog_y,DogRec_y,DogAdopt_y,DogReclaim_y,DogEuth_y,EndInvDogs_y,BegInvCat_y,CatRec_y,CatsAdopt_y,CatsReclaim_y,CatEuth_y,EndInvCats_y,BegInvOther_y,OtherRec_y,OtherAdopt_y,OtherReclaim_y,OtherEuth_y,EndInvOther_y,AllRec_y,AllAdopt_y,AllReclaim_y,AllEuth_y
94,1000,Jasper,2010,11194,Jasper County Animal Control,Newton,62448,Animal Control,0,0,0,0,0,0,151,1,64,86,0,0,0,0,0,0,0,0,0,0,0,0,0,151,1,64,86,1002,Jasper,2013,County of Jasper,Newton,62448,0,0,0,0,0,0,0,94,0,53,41,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,53,41
95,1004,Jefferson,2010,11881,Australian Cattle Dog Rescue Of IL,Texico,62889,Dog Dealer,0,0,0,0,0,0,354,309,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,354,309,0,11,1024,Jefferson,2013,Australian Cattle Dog Rescue of IL,Texico,62889,Animal Shelter,93,11,0,0,0,35,139,93,0,24,47,0,0,0,0,0,0,0,0,0,0,0,0,139,93,0,24
96,1015,Jefferson,2010,5064,Jefferson Co. Animal Control,Mt. Vernon,62864,Animal Control,0,0,0,0,0,0,1211,163,524,524,0,0,919,40,11,869,0,0,0,0,0,0,0,2130,203,535,1393,1017,Jefferson,2013,Jefferson Co. Animal Control,Mt. Vernon,62864,Animal Control,0,0,0,0,0,14,1053,558,184,235,88,6,842,199,8,589,52,0,0,0,0,0,0,1895,757,192,824
97,1028,Jersey,2010,3850,Jerseyville Animal Control,Jerseyville,62052,Animal Control,0,0,0,0,0,0,111,0,22,89,0,0,65,0,4,61,0,0,0,0,0,0,0,176,0,26,150,1033,Jersey,2013,Jerseyville Animal Control,Jerseyville,62052,Animal Control,0,0,0,0,0,0,140,22,30,93,93,0,75,0,1,74,0,0,0,0,0,0,0,215,22,31,167
98,1031,Jersey,2010,12326,Riverbend Humane Society,Jerseyville,62052,Animal Shelter,0,0,0,0,0,0,30,60,1,1,0,0,33,14,0,3,0,0,0,0,0,0,0,63,74,1,4,1040,Jersey,2013,Riverbend Humane Society,Jerseyville,62052,Animal Shelter,0,0,0,0,0,22,23,26,0,0,19,42,20,14,0,2,46,0,0,0,0,0,0,43,40,0,2
99,1049,Jodaviess,2010,9465,Safe Haven Humane Society,Elizabeth,61028,Animal Shelter,0,0,0,0,0,0,99,91,7,1,0,0,60,53,1,2,0,0,0,0,0,0,0,159,144,8,3,1046,Jo Daviess,2013,Safe Haven Humane Society,Elizabeth,61028,Animal Shelter,0,0,0,0,0,10,96,96,2,0,8,12,76,71,0,3,14,0,0,0,0,0,0,172,167,2,3
100,1053,Jodaviess,2010,4982,Village of Warren,Warren,61087,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1054,Jodaviess,2013,Village of Warren,Warren,61087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1056,Johnson,2010,10693,Goines Kennels,Vienna,62995,Animal Control Facility,0,0,0,0,0,0,431,0,72,359,0,0,28,0,0,28,0,0,0,0,0,0,0,459,0,72,387,1058,Johnson,2013,Goines Kennels,Vienna,62995,Animal Control,0,0,0,0,0,6,231,0,158,71,2,0,0,0,0,0,0,0,0,0,0,0,0,231,0,158,71
102,1068,Kane,2010,3626,Aurora Animal Control & Care,Aurora,60506,Animal Control,0,0,0,0,0,0,1359,175,433,459,0,0,1693,111,33,828,0,0,1129,0,2,288,0,4181,286,468,1575,1067,Kane,2013,Aurora Animal Control & Care,Aurora,60506,Animal Control,0,0,0,0,0,39,1356,628,426,320,21,22,1134,667,28,343,118,0,81,37,2,52,0,2571,1332,456,715
103,1068,Kane,2010,3626,Aurora Animal Control & Care,Aurora,60506,Animal Control,0,0,0,0,0,0,1359,175,433,459,0,0,1693,111,33,828,0,0,1129,0,2,288,0,4181,286,468,1575,1090,Kane,2013,Aurora Animal Control & Care,Aurora,60506,Animal Control,0,0,0,0,0,39,1356,628,426,320,21,22,1134,667,28,343,118,0,81,37,2,52,0,2571,1332,456,715
