,index1_x,County_x,Year_x,ShelterID,BusName_x,City_x,Zip_x,License Type_x,DogSold_x,PupSold_x,CatSold_x,KitSold_x,ExoticSold_x,BegInvDog_x,DogRec_x,DogAdopt_x,DogReclaim_x,DogEuth_x,EndInvDogs_x,BegInvCat_x,CatRec_x,CatsAdopt_x,CatsReclaim_x,CatEuth_x,EndInvCats_x,BegInvOther_x,OtherRec_x,OtherAdopt_x,OtherReclaim_x,OtherEuth_x,EndInvOther_x,AllRec_x,AllAdopt_x,AllReclaim_x,AllEuth_x,index1_y,County_y,Year_y,BusName_y,City_y,Zip_y,License Type_y,DogSold_y,PupSold_y,CatSold_y,KitSold_y,ExoticSold_y,BegInvDog_y,DogRec_y,DogAdopt_y,DogReclaim_y,DogEuth_y,EndInvDogs_y,BegInvCat_y,CatRec_y,CatsAdopt_y,CatsReclaim_y,CatEuth_y,EndInvCats_y,BegInvOther_y,OtherRec_y,OtherAdopt_y,OtherReclaim_y,OtherEuth_y,EndInvOther_y,AllRec_y,AllAdopt_y,AllReclaim_y,AllEuth_y
49,658,Douglas,2010,3259,Douglas County Animal Control,Tuscola,61953-0320,Animal Control,0,0,0,0,0,0,56,12,18,1,0,0,24,8,10,0,0,0,0,0,0,0,0,80,20,28,1,657,Douglas,2011,Douglas County Animal Control,Tuscola,61953-0192,Animal Control,54,18,7,21,0,0,79,54,12,6,7,0,31,28,0,3,0,0,0,0,0,0,0,110,82,12,9
50,660,Douglas,2010,5007,Villa Grove Animal Control,Villa Grove,61956-1500,Animal Control,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,661,Douglas,2011,Villa Grove Animal Control,Villa Grove,61956-1500,Animal Control,0,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,0
51,781,Edgar,2010,169,Edgar County Animal Control,Paris,61944-0381,Animal Control,1,0,0,0,0,0,214,1,202,11,0,0,15,15,0,0,0,0,0,0,0,0,0,229,16,202,11,782,Edgar,2011,Edgar County Animal Control,Paris,61944-0381,Animal Control,0,0,0,0,0,10,356,182,152,24,7,0,0,0,0,0,0,0,0,0,0,0,0,356,182,152,24
52,785,Edgar,2010,10793,"Edgar County Humane Association, Inc.",Paris,61944,Animal Shelter,0,0,0,0,0,0,277,191,16,8,0,0,153,131,12,10,0,0,0,0,0,0,0,430,322,28,18,786,Edgar,2011,"Edgar County Humane Association, Inc.",Paris,61944,Animal Shelter,0,0,0,0,0,27,268,174,12,7,30,30,175,109,45,16,32,0,0,0,0,0,0,443,283,57,23
53,789,Edgar,2010,13885,Save a Mutt Shelter & Rescue,Chrisman,61924,Animal Shelter,0,0,0,0,0,0,162,112,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,112,2,0,790,Edgar,2011,Save a Mutt Shelter & Rescue,Chrisman,61924,Animal Shelter,0,0,0,0,0,10,103,99,2,3,9,0,1,0,0,0,1,2,0,0,0,0,2,104,99,2,3
54,801,Edwards,2010,7794,Albion Animal Pound,Albion,62806-1016,Animal Control,0,0,0,0,0,0,37,0,23,14,0,0,42,0,4,38,0,0,120,0,0,0,0,199,0,27,52,802,Edwards,2011,Albion Animal Pound,Albion,62806-1016,Animal Control,0,0,0,0,0,0,57,0,36,21,0,0,44,0,2,42,0,0,18,0,0,0,0,119,0,38,63
55,808,Effingham,2010,13912,E.A.R.S.,Effingham,62401,Animal Shelter,0,0,0,0,0,0,183,179,1,2,0,0,60,35,0,4,0,0,1,0,0,0,0,244,214,1,6,809,Effingham,2011,E.A.R.S.,Effingham,62401,Animal Shelter,0,0,0,0,0,6,181,171,8,0,8,5,38,30,5,3,5,0,0,0,0,0,0,219,201,13,3
56,811,Effingham,2010,171,Effingham County Animal Control,Effingham,62401,Animal Control,0,0,0,0,0,0,364,110,73,181,0,0,143,7,4,132,0,0,0,0,0,0,0,507,117,77,313,812,Effingham,2011,Effingham County Animal Control,Effingham,62401,Animal Control,50,73,7,16,0,9,340,123,66,151,5,3,169,23,0,146,0,0,0,0,0,0,0,509,146,66,297
57,813,Effingham,2010,10855,Effingham County Humane Society,Effingham,62401,Animal Shelter,0,0,0,0,0,0,88,72,6,0,0,0,69,65,0,2,0,0,0,0,0,0,0,157,137,6,2,815,Effingham,2011,Effingham County Humane Society,Effingham,62401,Animal Shelter,0,0,0,0,0,16,53,47,3,0,19,61,70,85,0,1,44,0,0,0,0,0,0,123,132,3,1
58,822,Fayette,2010,9936,Fayette County Animal Control,Vandalia,62471,Animal Control,0,0,0,0,0,0,916,72,63,781,0,0,314,1,3,310,0,0,0,0,0,0,0,1230,73,66,1091,823,Fayette,2011,Fayette County Animal Control,Vandalia,62471,Animal Control,0,0,0,0,0,7,444,43,24,377,4,0,129,2,0,127,0,0,0,0,0,0,0,573,45,24,504
