index,County,Year,ShelterID,BusName,City,Zip,License Type,DogSold,PupSold,CatSold,KitSold,ExoticSold,BegInvDog,DogRec,DogAdopt,DogReclaim,DogEuth,EndInvDogs,BegInvCat,CatRec,CatsAdopt,CatsReclaim,CatEuth,EndInvCats,BegInvOther,OtherRec,OtherAdopt,OtherReclaim,OtherEuth,EndInvOther,AllRec,AllAdopt,AllReclaim,AllEuth
517,Perry,2012,4839,Perry County Animal Control,Pinckneyville,62274,Animal Control,0,0,0,0,0,0,255,160,64,31,0,0,76,53,0,23,0,0,0,0,0,0,0,331,213,64,54
518,Macoupin,2012,4869,Macoupin County Animal Control,Carlinville,62626,Animal Control,0,0,0,0,0,41,411,226,147,10,28,32,273,158,47,40,28,0,6,0,6,0,0,690,384,200,50
519,Rock Island,2012,4875,City of Silvis,Silvis,61282,Animal Control,0,0,0,0,0,0,51,0,36,0,0,0,16,0,3,0,0,0,0,0,0,0,0,67,0,39,0
520,Jodaviess,2012,4982,Village of Warren,Warren,61087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,Shelby,2012,4991,Shelby County Animal Control,Shelbyville,62565,Animal Control,0,0,0,0,0,4,184,106,28,43,3,1,47,38,3,6,0,0,0,0,0,0,0,231,144,31,49
522,Henry,2012,5008,Henry County Animal Shelter,Cambridge,61238,Animal Control,1,94,20,67,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,Jefferson,2012,5064,Jefferson Co. Animal Control,Mt. Vernon,62864,Animal Control,0,0,0,0,0,23,990,526,142,331,14,11,669,82,15,485,6,0,0,0,0,0,0,1659,608,157,816
524,Winnebago,2012,5140,Winnebago County Animal Services,Rockford,61103,Animal Control,0,0,0,0,0,65,3083,776,921,1196,88,95,3837,825,79,2857,71,1,1470,34,7,1123,3,8390,1635,1007,5176
525,Henry,2012,5196,Geneseo Police Department,Geneseo,61254,Animal Control,0,0,0,0,0,0,37,5,32,0,0,0,12,3,9,0,0,0,0,0,0,0,0,49,8,41,0
526,Woodford,2012,5200,Steffen Dr. J. R. ,Goodfield,61742,Animal Control,0,0,0,0,0,0,30,3,15,11,1,0,5,1,2,3,0,0,0,0,0,0,0,35,4,17,14
527,Vermilion,2012,5202,Vermilion County Animal Shelter,Danville,61834,Animal Control,184,149,66,48,0,25,1158,338,226,203,95,38,975,114,17,469,120,0,119,0,0,11,0,2252,452,243,683
528,Coles,2012,5242,Coles County Animal Shelter,Charleston,61920,0,615,0,0,214,0,23,928,368,247,272,41,43,886,199,15,577,95,0,46,46,0,0,0,1860,613,262,849
529,Rock Island,2012,5297,Quad City Animal Welfare Center,Milan,61264,Animal Shelter,366,15,159,91,14,33,382,366,1,1,31,84,250,250,0,0,84,2,14,13,0,1,2,646,629,1,2
530,Lawrence,2012,5422,Lawrence County Animal Control,Lawrenceville,62439,Animal Control,0,0,0,0,0,4,171,10,35,10,6,5,109,0,2,11,0,0,0,0,0,0,0,280,10,37,21
531,Iroquois,2012,5477,Village of Onarga,Onarga,60955,Animal Control,0,0,0,0,0,12,12,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,1
532,Lee,2012,5490,Sauk Valley Humane Soc Inc,Mendota,61342,Animal Shelter,2,0,4,0,0,12,5,2,4,0,10,50,10,5,6,8,41,0,0,0,0,0,0,15,7,10,8
533,Adams,2012,5531,Adams County Animal Shelter,Quincy,62305,Animal Control,0,0,0,0,0,0,140,81,59,1,0,0,1,1,0,0,0,0,1,0,1,0,0,142,82,60,1
534,Mason,2012,5567,Village of Manito,Manito,61546,Animal Control,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0
535,Williamson,2012,5619,Williamson County Animal Control,Marion,62959,Animal Control,0,0,0,0,0,25,642,358,153,131,30,0,8,0,0,8,0,0,10,0,0,10,0,660,358,153,149
536,Adams,2012,5700,Quincy Humane Society,Quincy,62305,Animal Shelter,0,0,0,0,0,24,486,5,0,5,35,24,316,264,0,21,50,0,0,0,0,0,0,802,269,0,26
537,Madison,2012,5747,Alton Animal Control Center,Alton,62002,Animal Control,0,0,0,0,0,0,308,39,43,226,0,0,329,6,3,320,4,0,181,0,0,181,0,818,45,46,727
538,Mason,2012,5760,City of Havana,Havana,62644,Animal Control,0,0,0,0,0,0,10,1,1,1,7,0,49,0,4,17,28,0,0,0,0,0,0,59,1,5,18
539,Hamilton,2012,5801,City of Mcleansboro,Mcleansboro,62859,Animal Control,0,0,0,0,0,2,39,20,17,2,4,0,4,0,0,4,0,0,0,0,0,0,0,43,20,17,6
540,Monroe,2012,6034,Monroe County Animal Pound,Waterloo,62298,0,0,0,0,0,0,0,186,89,82,15,0,0,103,55,8,40,0,0,0,0,0,0,0,289,144,90,55
541,Lee,2012,6062,Granny Rose Animal Shelter,Dixon,61021,Animal Shelter,0,0,0,0,0,16,87,83,1,1,18,36,45,48,1,0,34,0,0,0,0,0,0,132,131,2,1
542,Macoupin,2012,6098,Macoupin County Adopt-A-Pet,Benld,62009,Animal Shelter,200,170,55,95,0,47,391,370,5,0,63,34,161,150,1,0,44,0,0,0,0,0,0,552,520,6,0
543,St. Clair,2012,6311,Marissa Animal Control,Marissa,62257,Animal Control,0,0,0,0,0,0,65,0,15,0,0,0,49,0,2,0,0,0,0,0,0,0,0,114,0,17,0
544,Henry,2012,6355,Henry CO Humane Society Kewanee Chapter,Kewanee,61443,Animal Shelter,0,0,0,0,0,8,125,111,0,2,20,75,123,85,0,20,93,0,0,0,0,0,0,248,196,0,22
545,Rock Island,2012,6357,Animal Aid Humane Society Inc.,Moline,61265,Animal Shelter,37,10,76,144,0,3,35,37,0,0,2,70,85,76,0,0,65,0,0,0,0,0,0,120,113,0,0
546,Madison,2012,6418,Highland Animal Shelter,Highland,62249,Animal Shelter,0,0,0,0,0,29,34,41,0,4,18,70,143,137,1,5,70,0,0,0,0,0,0,177,178,1,9
547,Macon,2012,6479,Humane Society of Decator/Macon Co,Decatur,62526,Animal Shelter,0,0,0,0,0,7,57,51,3,1,9,29,66,60,1,1,33,0,0,0,0,0,0,123,111,4,2
548,Stephenson,2012,6480,Friends Forever Humane Society,Freeport,61032,Animal Shelter,158,44,77,51,0,27,235,202,24,1,21,42,142,128,0,6,25,0,0,0,0,0,0,377,330,24,7
