index,County,Year,ShelterID,BusName,City,Zip,License Type,DogSold,PupSold,CatSold,KitSold,ExoticSold,BegInvDog,DogRec,DogAdopt,DogReclaim,DogEuth,EndInvDogs,BegInvCat,CatRec,CatsAdopt,CatsReclaim,CatEuth,EndInvCats,BegInvOther,OtherRec,OtherAdopt,OtherReclaim,OtherEuth,EndInvOther,AllRec,AllAdopt,AllReclaim,AllEuth
2363,Will,2014,486,TLC Animal Shelter & Humane Society,Homer Glen,60491-6742,Animal Shelter,0,0,0,0,0,16,807,781,11,5,12,14,295,281,5,9,9,0,47,39,0,8,0,1149,1101,16,22
652,Dewitt,2014,1395,Dewitt County Animal Control,Clinton,61727,Animal Control Facility,0,0,0,0,0,1,105,48,33,8,17,21,208,213,1,15,0,0,8,8,0,0,0,321,269,34,23
919,Hancock,2014,1520,Hancock County Dog Pound,Basco,62313-2110,Animal Control Facility,0,0,0,0,0,0,168,97,42,29,0,0,0,0,0,0,0,0,0,0,0,0,0,168,97,42,29
1568,Madison,2014,1909,Granite City Humane Shelter,Granite City,62040-3394,Animal Control Facility,0,0,0,0,0,0,410,37,127,3,0,0,418,31,10,12,0,0,0,0,0,0,0,828,68,137,15
2412,Williamson,2014,2354,City of Marion,Marion,62959-2605,Animal Control Facility,0,0,0,0,0,13,220,36,76,10,13,31,144,2,1,17,16,0,0,0,0,0,0,364,38,77,27
1599,Marshall,2014,2440,Marshall County Dog Pound,Lacon,61540-0328,Animal Control Facility,0,0,0,0,0,0,180,40,115,25,0,0,0,0,0,0,0,0,0,0,0,0,0,180,40,115,25
2182,Warren,2014,2945,Warren County Dog Pound,Monmouth,61462-1761,Animal Control Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Sangamon,2014,3257,Sangamon Co Animal Control Ctr,Springfield,62703-5634,Animal Control Facility,526,117,284,215,3,0,1866,729,457,570,0,0,1580,887,34,502,0,0,556,7,0,222,0,4002,1623,491,1294
667,Douglas,2014,3259,Douglas County Animal Control,Tuscola,61953-0192,Animal Control Facility,41,11,10,13,0,52,174,46,132,6,0,23,23,13,5,4,1,0,0,0,0,0,0,197,59,137,10
629,Dekalb,2014,3343,Dekalb County Animal Shelter,Genoa,60135-7612,Animal Shelter,0,0,0,0,0,32,191,134,19,6,32,98,213,199,8,15,122,0,1,1,0,0,0,405,334,27,21
67,Boone,2014,3508,Boone County Animal Services,Belvidere,61008-4854,Animal Control Facility,0,0,0,0,0,3,312,76,164,72,3,0,91,40,0,51,0,0,6,1,0,5,0,409,117,164,128
218,Clinton,2014,3586,Clinton County Animal Control,Carlyle,62231,Animal Control Facility,0,0,0,0,0,2,454,160,169,117,10,19,510,33,14,467,15,0,9,0,0,9,0,973,193,183,593
2372,Will,2014,3595,Village of Romeoville,Romeoville,60446-1390,Animal Control Facility,0,0,0,0,0,202,202,59,143,0,0,89,89,60,20,9,0,0,0,0,0,0,0,291,119,163,9
1115,Kane,2014,3626,Aurora Animal Control & Care,Aurora,60506-5552,Animal Control Facility,589,0,519,0,0,37,1282,589,499,127,56,24,915,519,23,249,50,0,1321,0,3,259,0,3518,1108,525,635
896,Grundy,2014,3700,Grundy County Animal Control,Morris,60450-8336,Animal Control Facility,61,0,9,0,0,18,240,61,122,38,9,25,212,9,8,92,31,0,0,0,0,0,0,452,70,130,130
2207,White,2014,3791,Carmi City Dog Pound,Carmi,62821-1860,Animal Control Facility,0,0,0,0,0,0,144,46,68,30,0,0,0,0,0,0,0,0,0,0,0,0,0,144,46,68,30
2192,Washington,2014,3796,Washington County Animal Control,Nashville,62263-0209,Animal Control Facility,0,0,0,0,0,0,368,191,176,1,0,0,84,83,0,1,0,0,0,0,0,0,0,452,274,176,2
